title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime
Gio Mini Lighter Holder,FRY POWERS,deny,True,2024-07-25T11:08:34.000Z,{'custom': {'soldout': False}},48197435883785,False,False,-1,-1
Gio Mini Lighter Holder,FRY POWERS,deny,True,2024-07-25T11:08:34.000Z,{'custom': {'soldout': False}},48197435851017,False,False,-1,-1
Silver Modernist Candleholder,Médecine,deny,True,2024-10-09T12:53:58.000Z,{'custom': {'soldout': False}},48527941697801,False,False,-1,-1
"Croquis Drawing no.VII ""Amelia""",Médecine,deny,True,2024-09-24T12:30:06.000Z,{'custom': {'soldout': False}},48452680122633,False,False,-1,-1
Glass Serving Dish Set,Dodo Vintage,deny,True,2024-10-08T13:27:40.000Z,{'custom': {'soldout': False}},48521568813321,False,False,-1,-1
1980s Shell Shaped Glass Bowls,Dodo Vintage,deny,True,2024-10-08T13:26:24.000Z,{'custom': {'soldout': False}},48521565176073,False,False,-1,-1
1980s Shell Shaped Glass Bowls,Dodo Vintage,deny,True,2024-10-08T13:26:24.000Z,{'custom': {'soldout': False}},48521565143305,False,False,-1,-1
1980s Shell Shaped Glass Bowls,Dodo Vintage,deny,True,2024-10-08T13:26:24.000Z,{'custom': {'soldout': False}},48521565110537,False,False,-1,-1
Set of 2 Glass Candleholder by Peill & Putzler,Dodo Vintage,deny,True,2024-10-07T16:18:47.000Z,{'custom': {'soldout': False}},48517380440329,False,False,-1,-1
Angel Flute - Set of Four,Sophie Lou Jacobsen,deny,True,2024-09-26T21:33:03.000Z,{'custom': {'soldout': False}},48464990011657,False,False,-1,-1
Vintage Danish Wooden Salt & Pepper Set,Flock Studio,deny,True,2024-09-09T10:29:47.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48390221136137,False,False,2,1
Silver Metal 1960s Candleholder,Dodo Vintage,deny,True,2024-10-07T16:19:02.000Z,{'custom': {'soldout': False}},48517380964617,False,False,-1,-1
Roman Side Table,Meola Interiors,deny,True,2024-06-26T17:11:17.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '5'}, 'mindeliverytime': {'mindeltime': '2'}}",48061191323913,False,False,5,2
Gio Lighter Holder,FRY POWERS,deny,True,2024-07-08T10:44:44.000Z,{'custom': {'soldout': False}},48120273436937,False,False,-1,-1
Gio Lighter Holder,FRY POWERS,deny,True,2024-07-08T10:44:44.000Z,{'custom': {'soldout': False}},48120273404169,False,False,-1,-1
Gio Lighter Holder,FRY POWERS,deny,True,2024-07-08T10:44:44.000Z,{'custom': {'soldout': False}},48120273371401,False,False,-1,-1
Squiggle Tray,Sophie Lou Jacobsen,deny,True,2024-09-26T21:32:50.000Z,{'custom': {'soldout': False}},48464989290761,False,False,-1,-1
Solid Vintage Murero Glass Vase - 1970s Italy,Bottega Jacobs,deny,True,2024-10-02T13:55:55.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493544046857,False,False,2,1
"""Going Home"" Candleholder",Nowhere,continue,True,2024-03-22T16:53:02.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '3'}, 'mindeliverytime': {'mindeltime': '2'}}",45212306178313,False,False,3,2
Vintage Table Lamp 80s,Bottega Jacobs,deny,True,2024-10-07T16:21:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517384372489,False,False,2,1
"""Aquarama"" Headboard in African Mahogany",Lemon,deny,False,2024-10-01T10:08:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '10'}, 'mindeliverytime': {'mindeltime': '8'}}",48485044093193,False,False,10,8
