title,vendor,inventory_policy,inventory_available,created_at,meta,objectID,curators_product,soldout,maxdeltime,mindeltime,itemsViewed,itemsPurchased,itemsAddedToCart,itemRevenue,ConversionRate
Vintage Murano Glass Chandelier by Toni Zuccheri for Mazzega,Bottega Jacobs,deny,True,2024-10-02T13:55:19.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493541884169,False,False,2,1,30,0,2,0,0.0
Vintage Ceiling Lamp Murano Glass - 1980s Italy,Bottega Jacobs,deny,True,2024-10-02T13:55:16.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493541523721,False,False,2,1,122,0,2,0,0.0
Set of 6 Cutlery,Les Objoies,deny,True,2024-10-08T15:26:39.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48522048733449,False,False,2,1,25,0,0,0,0.0
Psychedelic Mirror Long,Caia Leifsdotter,deny,True,2024-09-23T11:32:26.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '2'}}",48447875186953,False,False,4,2,354,0,11,0,0.0
"""I saw you crying at the discoteque"" Plate",Musae Studio,continue,True,2023-11-03T17:14:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '4'}, 'mindeliverytime': {'mindeltime': '1'}}",44711514800393,False,False,4,1,52,1,48,38,0.019230769230769232
Set of 2 Candleholders – Postmodern 1980s,Bottega Jacobs,deny,True,2024-10-07T16:20:25.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517383618825,False,False,2,1,22,0,0,0,0.0
Vintage metal Carafe - Rameria Lando Rinaldini 1950s,Bottega Jacobs,deny,True,2024-10-07T16:20:14.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517383422217,False,False,2,1,10,0,0,0,0.0
Iron Candleholder 70s,Bottega Jacobs,deny,True,2024-10-07T16:19:58.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48517382996233,False,False,2,1,8,0,0,0,0.0
Vintage Bronze Sculpture of a Hand – Italy 1960s,Bottega Jacobs,deny,True,2024-10-02T13:58:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493554696457,False,False,2,1,54,0,1,0,0.0
5 Retro Murano Drinking Glasses,Bottega Jacobs,deny,True,2024-10-02T13:57:24.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493551452425,False,False,2,1,34,0,1,0,0.0
Vintage Ceiling Lamp - 1980s Murano Glass,Bottega Jacobs,deny,True,2024-10-02T13:57:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493549551881,False,False,2,1,62,0,1,0,0.0
Two Metal Candlesticks Memphis Style,Bottega Jacobs,deny,True,2024-10-02T13:56:54.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493549224201,False,False,2,1,15,0,1,0,0.0
Antique Fruit Bowl - Hand-Carved Copper,Bottega Jacobs,deny,True,2024-10-02T13:56:38.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493547585801,False,False,2,1,43,0,1,0,0.0
XXL Brutalist metal Candle Holder Italy 1960s,Bottega Jacobs,deny,True,2024-10-02T13:56:23.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493546832137,False,False,2,1,36,0,1,0,0.0
Agnes Hand Towel,Autumn Sonata,deny,True,2024-09-26T21:33:09.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991715593,False,False,2,1,21,0,3,0,0.0
Agnes Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:09.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991682825,False,False,2,1,11,0,3,0,0.0
Alma Bath Mat,Autumn Sonata,deny,True,2024-09-26T21:32:55.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989618441,False,False,2,1,30,0,3,0,0.0
Forged Candleholder – Brutalist Design 1950s,Bottega Jacobs,deny,True,2024-10-02T13:57:53.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493553352969,False,False,2,1,18,0,0,0,0.0
Kaiser Leuchten Table Lamp By Klaus Hempel,Bottega Jacobs,deny,True,2024-10-02T13:57:21.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493551288585,False,False,2,1,59,0,0,0,0.0
Vintage Glass Vase for Riihimäen Lasi Oy,Bottega Jacobs,deny,True,2024-10-02T13:56:02.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48493544931593,False,False,2,1,20,0,0,0,0.0
Karin Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:01.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464989815049,False,False,2,1,61,0,2,0,0.0
Italian Male in Plaster,Médecine,deny,True,2024-08-01T15:16:01.000Z,{'custom': {'soldout': False}},48229078499593,False,False,-1,-1,206,0,5,0,0.0
Mid-Century Metal and Wood Lamp,Spigel,deny,True,2024-09-03T10:36:52.000Z,{'custom': {'soldout': False}},48360588345609,False,False,-1,-1,93,0,3,0,0.0
Ester Bath Towel,Autumn Sonata,deny,True,2024-09-26T21:33:08.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991650057,False,False,2,1,18,0,1,0,0.0
Karin Bath Mat,Autumn Sonata,deny,True,2024-09-26T21:33:05.000Z,"{'custom': {'soldout': False}, 'maxdeliverytime': {'maxdeltime': '2'}, 'mindeliverytime': {'mindeltime': '1'}}",48464991387913,False,False,2,1,45,0,1,0,0.0
